date,opponent,venue,possession,score
2024-08-17,Barcelona,Away,63.0,
2024-08-23,Celta Vigo,Home,49.0,
2024-08-28,Athletic Club,Home,50.0,
2024-08-31,Villarreal,Away,42.0,
2024-09-15,Atlético Madrid,Home,53.0,
2024-09-21,Girona,Away,67.0,
2024-09-24,Osasuna,Away,48.0,
2024-09-28,Real Sociedad,Home,61.0,
2024-10-04,Leganés,Home,59.0,
2024-10-21,Las Palmas,Away,52.0,
2024-10-27,Getafe,Home,64.0,
2024-11-23,Betis,Away,52.0,
2024-11-29,Mallorca,Home,48.0,
2024-12-07,Rayo Vallecano,Away,40.0,
2024-12-13,Valladolid,Home,33.0,
2024-12-18,Espanyol,Home,46.0,
2024-12-22,Alavés,Away,38.0,
2025-01-03,Real Madrid,Away,62.0,
2025-01-11,Sevilla,Home,54.0,
2025-01-19,Real Sociedad,Away,64.0,
2025-01-26,Barcelona,Home,71.0,
2025-02-02,Celta Vigo,Away,54.0,
2025-02-09,Leganés,Away,56.0,
2025-02-15,Villarreal,Home,50.0,
2025-02-22,Atlético Madrid,Away,51.0,
2025-03-02,Osasuna,Home,51.0,
2025-03-08,Valladolid,Away,38.0,
2025-03-15,Girona,Home,57.0,
2025-03-30,Mallorca,Away,56.0,
2025-04-05,Real Madrid,Home,65.0,
2025-04-11,Sevilla,Away,49.0,
2025-04-19,Rayo Vallecano,Home,57.0,
2025-04-22,Espanyol,Away,33.0,
2025-05-03,Las Palmas,Home,53.0,
2025-05-10,Getafe,Away,42.0,
2025-05-14,Alavés,Home,42.0,
2025-05-18,Athletic Club,Away,45.0,
2025-05-23,Betis,Home,47.0,
