date,opponent,possession
2024-08-24,Hoffenheim,46.0
2024-08-31,Wolfsburg,54.0
2024-09-14,Bayern Munich,30.0
2024-09-21,Bochum,56.0
2024-09-29,Eint Frankfurt,47.0
2024-10-05,Leverkusen,26.0
2024-10-20,Union Berlin,48.0
2024-10-26,Stuttgart,42.0
2024-11-02,Heidenheim,45.0
2024-11-09,Werder Bremen,40.0
2024-11-24,Mainz 05,38.0
2024-11-29,St. Pauli,51.0
2024-12-07,RB Leipzig,56.0
2024-12-14,Gladbach,44.0
2024-12-21,Augsburg,37.0
2025-01-11,Freiburg,49.0
2025-01-14,Dortmund,25.0
2025-01-18,Hoffenheim,53.0
2025-01-24,Wolfsburg,31.0
2025-02-01,Bayern Munich,29.0
2025-02-09,Bochum,48.0
2025-02-16,Eint Frankfurt,49.0
2025-02-22,Leverkusen,38.0
2025-03-02,Union Berlin,48.0
2025-03-08,Stuttgart,52.0
2025-03-16,Heidenheim,61.0
2025-03-29,Werder Bremen,55.0
2025-04-05,Mainz 05,42.0
2025-04-12,St. Pauli,51.0
2025-04-19,RB Leipzig,39.0
2025-04-26,Gladbach,38.0
2025-05-04,Augsburg,28.0
2025-05-10,Freiburg,60.0
2025-05-17,Dortmund,27.0
