date,opponent,passes,success_passes
2024-08-17,Liverpool,381,290
2024-08-24,Manchester City,266,211
2024-08-31,Fulham,434,360
2024-09-14,Brighton,293,205
2024-09-21,Southampton,452,371
2024-09-29,Aston Villa,441,361
2024-10-05,West Ham,479,393
2024-10-19,Everton,539,449
2024-10-26,Brentford,328,220
2024-11-02,Leicester City,359,266
2024-11-10,Tottenham,312,210
2024-11-24,Manchester Utd,462,368
2024-11-30,Nott'ham Forest,438,333
2024-12-03,Crystal Palace,563,456
2024-12-08,Bournemouth,377,268
2024-12-14,Wolves,460,371
2024-12-21,Newcastle Utd,462,374
2024-12-27,Arsenal,339,264
2024-12-30,Chelsea,249,157
2025-01-05,Fulham,282,206
2025-01-16,Brighton,437,357
2025-01-19,Manchester City,378,320
2025-01-25,Liverpool,337,254
2025-02-01,Southampton,578,483
2025-02-15,Aston Villa,242,173
2025-02-22,Tottenham,391,312
2025-02-26,Manchester Utd,486,404
2025-03-08,Crystal Palace,380,269
2025-03-15,Nott'ham Forest,480,391
2025-04-02,Bournemouth,336,226
2025-04-05,Wolves,367,266
2025-04-13,Chelsea,237,167
2025-04-20,Arsenal,268,211
2025-04-26,Newcastle Utd,206,134
2025-05-03,Everton,390,323
2025-05-10,Brentford,404,323
2025-05-18,Leicester City,478,404
2025-05-25,West Ham,464,374
